id,artist_genres,selected_genre,pop,rap,hip hop,dance,trap,rock,dance pop,latin,pop rap,reggaeton,country,house,contemporary,indie,latino,trap latino,post,alternative,edm,modern,teen,teen pop
5B7XIcS5T76NJZFOHX30Io,candy pop; dance pop; lilith; neo mellow; pop rock; post-teen pop,teen pop,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
63c2jMnVyf8dtnbaQK910d,drill espanol; trap latino; trap triste; urbano espanol; reggaeton; reggaeton flow; trap boricua; trap latino,trap latino,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0
1GeECVH4Msg1zLm8DExkbH,dance pop; hip pop; pop; post-teen pop; urban contemporary,teen pop,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1
4ZJURpomulGIURxYSvO1Xd,francoton; french hip hop; french pop; pop urbaine,hip hop,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6ukvsBzq4d1vBsAUmz7ZVt,a cappella,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0s0JMUkb2WCxIJsRB3G7Hd,dance pop; europop; neo mellow; pop; pop dance; pop rock; post-teen pop; talent show; tropical house; uk pop,teen pop,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
2lFtnEmkIPm2ClN55e2chV,contemporary country; country; country road,contemporary,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
0hm8rgOY17z7kQJlqGKbu7,modern folk rock; modern rock; pop rock; stomp and holler; uk americana,modern,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
561jH07mF1jHuk7KlaeF0s,detroit hip hop; hip hop; rap,hip hop,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5XFu5S1vBY7sNHlheCapOz,contemporary country; country; country road,contemporary,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
3e6hWC2WRjrHBz7p1UNdCm,turkish pop; turkish rock,rock,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5UZub5dP27wSxoB6vcUEvI,sky room; indie electropop,indie,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1JlNnlac0f4LWYaLVFB2ue,alternative pop rock; neon pop punk; pixie; pop emo; pop punk; post-teen pop; progressive electro house,teen pop,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1
0FktnzDqjClqU6iqOZVEs2,latin; reggaeton; trap latino,trap latino,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0
5DDbBY763OCil7Joc4YS1m,bulgarian pop; chalga; macedonian folk; bulgarian pop; chalga,pop,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3YWY2vDpD4ygZRMW9u0bby,ccm; christian alternative rock; christian music; world worship; worship,alternative,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2tLr9hFIbKfDxCydrDatLc,other,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2P1Pb4175a48zOzs24ANaM,colombian pop; latin; latin pop; tropical; latin; latin hip hop; reggaeton; reggaeton flow; trap latino,trap latino,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0
7FPOTINXrud2gCZVAsMTZc,dance pop; girl group; pop; post-teen pop; talent show; uk pop; dance pop; hip hop; pop rap; rap; southern hip hop; trap,teen pop,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1
